TimeUS,GPS_Lat,GPS_Lng,GPS_Alt,EKF_Lat,EKF_Lng,EKF_Alt,Guided_Lat,Guided_Lng,Guided_Alt
1270768351,,,,36.0757789,136.2132966,0.5199999809265137,,,
1270785540,36.0757789,136.2132966,0.53,,,,,,
1270825876,36.0757789,136.2132966,0.53,,,,,,
1270865716,36.0757789,136.2132966,0.53,,,,,,
1270868392,,,,36.0757789,136.2132966,0.5299999713897705,,,
1270885467,36.0757789,136.2132966,0.53,,,,,,
1270905526,36.0757789,136.2132966,0.53,,,,,,
1270945540,36.0757789,136.2132966,0.53,,,,,,
1270965734,36.0757789,136.2132966,0.53,,,,,,
1270968417,,,,36.0757789,136.2132966,0.5299999713897705,,,
1270985527,36.0757789,136.2132966,0.53,,,,,,
1271025877,36.0757789,136.2132966,0.53,,,,,,
1271045538,36.0757789,136.2132966,0.53,,,,,,
1271065708,36.0757789,136.2132966,0.53,,,,,,
1271068392,,,,36.0757789,136.2132966,0.5299999713897705,,,
1271085494,36.0757789,136.2132966,0.53,,,,,,
1271125788,36.0757789,136.2132966,0.53,,,,,,
1271165683,36.0757789,136.2132966,0.53,,,,,,
1271168526,,,,36.0757789,136.2132966,0.5299999713897705,,,
1271185520,36.0757789,136.2132966,0.53,,,,,,
1271205479,36.0757789,136.2132966,0.53,,,,,,
1271245539,36.0757789,136.2132966,0.53,,,,,,
1271265711,36.0757789,136.2132966,0.53,,,,,,
1271268394,,,,36.0757789,136.2132966,0.5299999713897705,,,
1271305609,36.0757789,136.2132966,0.53,,,,,,
1271325777,36.0757789,136.2132966,0.53,,,,,,
1271345449,36.0757789,136.2132966,0.53,,,,,,
1271365707,36.0757789,136.2132966,0.53,,,,,,
1271368332,,,,36.0757789,136.2132966,0.5299999713897705,,,
1271425838,36.0757789,136.2132966,0.53,,,,,,
1271445480,36.0757789,136.2132966,0.53,,,,,,
1271465715,36.0757789,136.2132966,0.53,,,,,,
1271468314,,,,36.0757789,136.2132966,0.5299999713897705,,,
1271525711,36.0757789,136.2132966,0.53,,,,,,
1271545507,36.0757789,136.2132966,0.53,,,,,,
1271568524,,,,36.0757789,136.2132966,0.5299999713897705,,,
1271585464,36.0757789,136.2132966,0.53,,,,,,
1271605463,36.0757789,136.2132966,0.53,,,,,,
1271645455,36.0757789,136.2132966,0.53,,,,,,
1271668276,,,,36.0757789,136.2132966,0.5299999713897705,,,
1271685550,36.0757789,136.2132966,0.53,,,,,,
